Actividad Institucional,Adefas,Aprobado,Ciclo,Clave de cartera,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción de la entidad federativa,Descripción de la modalidad del programa presupuestario,Devengado,Ejercicio,Ejercido,Entidad Federativa,Finalidad,Fuente de Financiamiento,Función,Grupo Funcional,Modalidad del Programa presupuestario,Modificado,Objeto del Gasto,Pagado,Programa Presupuestario,Ramo,Subfunción,Tipo de Gasto,Unidad Responsable
8,0.00,"657,898.00",2015,0,,Recursos fiscales,Salud,Desarrollo Social,Cuotas para el seguro de vida del personal militar,Administración y fomento de los servicios de salud,Marina,Prestación de Servicios de Salud a la Persona,Gasto corriente,Dirección General de Recursos Humanos,Servicios de salud al personal naval militar y derechohabientes,Campeche,Funciones de las Fuerzas Armadas,0.00,0.00,,4.0,,1.0,3,2.0,A,0.00,14402.0,0.00,7.0,13,2,1.0,311
8,," 56,059.0 ",2013,0,Desarrollo Económico,Recursos fiscales,Transporte,,Compensaciones adicionales por servicios especiales,Regulación y supervisión del programa de protección y medicina preventiva en transporte multimodal,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT Chihuahua,Regulación eficiente de las comunicaciones y los transportes,Chihuahua,Regulación y supervisión," 48,772.8 ",," 48,772.8 ",8.0,3.0,1.0,5,,G,,13407.0,,1.0,9,6,1.0,628
8,," 21,562.0 ",2013,0,Desarrollo Social,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",,Pasajes aéreos internacionales para servidores públicos en el desempeño de comisiones y funciones oficiales,Impulso al desarrollo de la cultura,Educación Pública,Cultura,Gasto corriente,"Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.",Fomento y promoción de la cultura,Baja California,Prestación de Servicios Públicos," 19,405.8 ",," 19,405.8 ",2.0,2.0,1.0,4,,E,,37106.0,,11.0,11,2,1.0,L6U
1,," 337,058.0 ",2013,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Honorarios,"Otorgamiento de prerrogativas a partidos políticos, fiscalización de sus recursos y administración de los tiempos del estado en radio y televisión",Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Querétaro,Específicos," 350,544.0 ",," 350,544.0 ",22.0,1.0,1.0,3,,R,,12101.0,,9.0,22,6,1.0,300
10,0.00,"1,500.00",2015,45985,,Recursos fiscales,Transporte,Desarrollo Económico,Impresión y elaboración de material informativo derivado de la operación y administración de las dependencias y entidades,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT San Luis Potosí,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",San Luis Potosí,Proyectos de Inversión,0.00,0.00,,24.0,,1.0,5,3.0,K,0.00,33604.0,0.00,31.0,9,1,3.0,644
1, -   ," 276,984 ",2014, 0 ,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos",Actualización del padrón electoral y expedición de la credencial para votar,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos", Baja California Sur ,Específicos," 430,525 "," 430,525 ",,3.0,,1.0,3,1.0,R," 430,525 ",26102.0," 430,525 ",5.0,22,6,1.0,300
1,0.00,0.00,2015,0,,Recursos fiscales,Otros Servicios Generales,Gobierno,Productos alimenticios para el personal que realiza labores en campo o de supervisión,Censo de Población y Vivienda,Información Nacional Estadística y Geográfica,Servicios Estadísticos,Gasto corriente,Instituto Nacional de Estadística y Geografía,Sistema Nacional de Información Estadística y Geográfica,Oaxaca,"Planeación, seguimiento y evaluación de políticas públicas","2,829.00","2,829.00",,20.0,,1.0,8,1.0,P,"2,829.00",22103.0,"2,829.00",4.0,40,2,1.0,100
4, -   ," 1,252,559 ",2014, 0 ,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Arrendamiento de maquinaria y equipo,Modernización del Catastro Rural Nacional,"Desarrollo Agrario, Territorial y Urbano",Agropecuaria,Gasto corriente,Registro Agrario Nacional,Ordenamiento y regularización de la propiedad rural, Distrito Federal ,"Planeación, seguimiento y evaluación de políticas públicas"," 711,663 "," 711,663 ",,9.0,,1.0,2,3.0,P," 711,663 ",32601.0," 711,663 ",3.0,15,1,1.0,B00
2,," 275,923.0 ",2010,,Desarrollo Económico,Recursos fiscales,Ciencia y Tecnología,,Primas de vacaciones y dominical,Actividades de apoyo administrativo,Consejo Nacional de Ciencia y Tecnología,Investigación Científica,Gasto corriente,"El Colegio de Michoacán, A.C.",Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,," 278,523.0 ",,3.0,1.0,7,,M,,1305.0,,1.0,38,1,1.0,91I
1, -   ," 128,412 ",2014, 0 ,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Servicio de agua,Actualización del padrón electoral y expedición de la credencial para votar,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos", Distrito Federal ,Específicos," 67,805 "," 67,805 ",,9.0,,1.0,3,1.0,R," 67,805 ",31301.0," 67,805 ",5.0,22,6,1.0,300
10,," 1,600.0 ",2013,10096400016,Desarrollo Económico,Recursos fiscales,Transporte,,Pasajes terrestres nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Oaxaca,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Oaxaca,Proyectos de Inversión, -   ,, -   ,20.0,3.0,1.0,5,,K,,37204.0,,31.0,9,1,3.0,640
3,,0.0,2011,,Desarrollo Económico,Recursos fiscales,Temas Empresariales,,Servicios para capacitación a servidores públicos,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,"Micro, Pequeñas y Medianas Empresas",Gasto corriente,Delegación en Tabasco,"Micro, Pequeñas y Medianas Empresas productivas y competitivas",,Prestación de Servicios Públicos,,,0.0,,3.0,1.0,4,,E,,33401.0,,9.0,10,1,1.0,747
9, -   ," 907,293 ",2014, 0 ,,Recursos fiscales,Otros Servicios Generales,Gobierno,Honorarios,Conducción de la política de comunicación social de la Administración Pública Federal y la relación con los medios de comunicación,Gobernación,Servicios de Comunicación y Medios,Gasto corriente,Dirección General de Medios Impresos,Comunicación social del Gobierno Federal, Distrito Federal ,"Planeación, seguimiento y evaluación de políticas públicas"," 840,903 "," 840,903 ",,9.0,,1.0,8,1.0,P," 840,903 ",12101.0," 840,903 ",5.0,4,3,1.0,712
3,0.00,0.00,2015,0,,Recursos fiscales,Protección Ambiental,Desarrollo Social,Refacciones y accesorios menores de edificios,Administración Sustentable del Agua,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Distrito Federal,Regulación y supervisión,243.10,243.10,,9.0,,1.0,1,2.0,G,243.10,29201.0,243.10,1.0,16,2,1.0,B00
4,," 1,320,000.0 ",2010,,Desarrollo Social,Recursos fiscales,Educación,,Materias primas de producción,Desarrollo de los programas educativos a nivel superior,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Educación Superior,Gasto corriente,Universidad Autónoma Chapingo,Formación recursos humanos para el sector (educación superior),,Prestación de Servicios Públicos,,," 1,320,000.0 ",,2.0,1.0,0,,E,,2501.0,,2.0,8,3,1.0,A1I
2,,0.0,2011,,Desarrollo Económico,Recursos fiscales,Temas Agrarios,,"Patentes, regalías y otros",Actividades de apoyo administrativo,Reforma Agraria,Asuntos Agrarios,Gasto corriente,Procuraduría Agraria,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,32793.0,,3.0,1.0,8,,M,,32701.0,,1.0,15,1,1.0,QEZ
8,," 20,639.0 ",2010,,Desarrollo Económico,Recursos fiscales,Comunicaciones y Transportes,,Otros impuestos y derechos,Definición y conducción de la política de comunicaciones y transportes,Comunicaciones y Transportes,Aeropuertos,Gasto corriente,Centro SCT Puebla,Regulación eficiente de las comunicaciones y los transportes,,"Planeación, seguimiento y evaluación de políticas públicas",,," 17,444.0 ",,3.0,1.0,1,,P,,3407.0,,1.0,9,3,1.0,641
3,," 9,750 ",2012,0,Desarrollo Social,Recursos fiscales,Vivienda y Servicios a la Comunidad,,"Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",Programa directo de Agua Limpia,Medio Ambiente y Recursos Naturales,Abastecimiento de Agua,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Sinaloa,Prestación de Servicios Públicos,,," 7,933 ",25.0,2.0,1.0,2,,E,,35501.0,,4.0,16,3,1.0,B00
4,,2800000.0,2011,,Desarrollo Económico,Recursos fiscales,Turismo,,Seguros de bienes patrimoniales,Conservación y mantenimiento a los CIP's a cargo del FONATUR,Turismo,Turismo,Gasto corriente,"FONATUR Mantenimiento Turístico, S.A. de C.V.",Turismo con sello propio de calidad hospitalidad y seguridad,,Prestación de Servicios Públicos,,,4996628.0,,3.0,1.0,6,,E,,34501.0,,7.0,21,1,1.0,W3S
10,, -   ,2012,11092100005,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios de supervisión de obras,Conservación de infraestructura de caminos rurales y carreteras alimentadoras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Tlaxcala,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Tlaxcala,Proyectos de Inversión,,," 698,997 ",29.0,3.0,1.0,5,,K,,62903.0,,37.0,9,1,3.0,649
10,, -   ,2013,0,Desarrollo Social,Recursos fiscales,Educación,,Refacciones y accesorios menores otros bienes muebles,Diseño y aplicación de la política educativa,Educación Pública,Educación Básica,Gasto corriente,Dirección General de Televisión Educativa,Diseño y aplicación de la política educativa,Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas"," 7,145.6 ",," 7,145.6 ",9.0,2.0,1.0,5,,P,,29901.0,,1.0,11,1,1.0,216
6,, -   ,2010,,Desarrollo Social,Recursos fiscales,"Urbanización, Vivienda y Desarrollo Regional",,Viáticos nacionales para labores en campo y de supervisión,Programa de Opciones Productivas,Desarrollo Social,Desarrollo Regional,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación SEDESOL en Querétaro,"Apoyo a las inversiones sociales de los gobiernos locales, de las organizaciones sociales y de la población rural",,Sujetos a Reglas de Operación,,," 17,021.0 ",,2.0,1.0,3,,S,,3814.0,,54.0,20,3,7.0,142
8,"96,000.00","155,000.00",2015,0,,Recursos fiscales,Protección Social,Desarrollo Social,Materiales y útiles de oficina,"Definición y conducción de la política del desarrollo social y comunitario, así como la participación social",Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Dirección General de Geoestadística y Padrones de Beneficiarios,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas","132,022.73","132,022.73",,9.0,,1.0,6,2.0,P,"132,022.73",21101.0,"36,022.73",2.0,20,8,1.0,612
8,,15000000.0,2011,,Desarrollo Social,Recursos fiscales,Educación,,México,Instituciones Estatales de Cultura,Educación Pública,Cultura,Gasto corriente,Consejo Nacional para la Cultura y las Artes,Fomento y promoción de la cultura,,Otros Subsidios,,,15000000.0,,2.0,1.0,0,,U,,43815.0,,59.0,11,6,1.0,H00
6,0.00,"12,000.00",2015,0,,Recursos fiscales,Protección Ambiental,Desarrollo Social,Productos textiles,Regulación Ambiental,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Dirección General de Vida Silvestre,Fomento y regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales,Distrito Federal,Regulación y supervisión,"108,709.13","108,709.13",,9.0,,1.0,1,2.0,G,"108,709.13",27401.0,"108,709.13",3.0,16,6,1.0,713
1,, -   ,2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Medicinas y productos farmacéuticos,Organizar procesos electorales federales,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Jalisco,Específicos,,, -   ,14.0,1.0,1.0,3,,R,,25301.0,,2.0,22,6,1.0,300
8, -   ," 22,964 ",2014, 0 ,,Recursos fiscales,Salud,Desarrollo Social,Subcontratación de servicios con terceros,Administración y fomento de los servicios de salud,Marina,Prestación de Servicios de Salud a la Persona,Gasto corriente,Dirección General de Recursos Humanos,Servicios de salud al personal naval militar y derechohabientes, Nayarit ,Funciones de las Fuerzas Armadas," 36,964 "," 36,964 ",,18.0,,1.0,3,2.0,A," 36,964 ",33901.0," 36,964 ",7.0,13,2,1.0,311
8," 271,923 "," 3,252,150 ",2014, 0 ,,Recursos fiscales,Salud,Desarrollo Social,"Productos alimenticios para el Ejército, Fuerza Aérea y Armada Mexicanos, y para los efectivos que participen en programas de seguridad pública",Administración y fomento de los servicios de salud,Marina,Prestación de Servicios de Salud a la Persona,Gasto corriente,Dirección General de Recursos Humanos,Servicios de salud al personal naval militar y derechohabientes, Guerrero ,Funciones de las Fuerzas Armadas," 4,593,446 "," 4,593,446 ",,12.0,,1.0,3,2.0,A," 4,593,446 ",22101.0," 4,321,523 ",7.0,13,2,1.0,311
3,,190830.0,2011,,Desarrollo Económico,Recursos fiscales,Desarrollo Sustentable,,Seguros de bienes patrimoniales,"Conservación y Operación de Acueductos Uspanapa-La Cangrejera, Veracruz y Lázaro Cárdenas, Michoacán.",Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Organismo de Cuenca Golfo Centro,Manejo eficiente y sustentable del agua y prevención de inundaciones,,Prestación de Servicios Públicos,,,0.0,,3.0,1.0,9,,E,,34501.0,,8.0,16,1,1.0,B24
2,0.00,"5,000.00",2015,0,,Recursos fiscales,Vivienda y Servicios a la Comunidad,Desarrollo Social,"Combustibles, lubricantes y aditivos para maquinaria, equipo de producción y servicios administrativos",Actividades de apoyo administrativo,Desarrollo Social,Desarrollo Regional,Gasto corriente,Consejo Nacional de Evaluación de la Política de Desarrollo Social,Servicios de apoyo administrativo,Distrito Federal,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,755.57,755.57,,9.0,,1.0,2,2.0,M,755.57,26105.0,755.57,1.0,20,7,1.0,VQZ
10, -   ," 3,200 ",2014, 11096320030 ,,Recursos fiscales,Transporte,Desarrollo Económico,Otros impuestos y derechos,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Guerrero,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes", Guerrero ,Proyectos de Inversión," 3,200 "," 3,200 ",,12.0,,1.0,5,3.0,K," 3,200 ",39202.0," 3,200 ",31.0,9,1,3.0,632
1,," 118,042.0 ",2013,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Aguinaldo o gratificación de fin de año,Organización electoral federal,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Quintana Roo,Específicos," 144,578.2 ",," 144,578.2 ",23.0,1.0,1.0,3,,R,,13202.0,,2.0,22,6,1.0,200
5, -   ," 62,580 ",2014, 0 ,,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",Desarrollo Económico,Servicio telefónico convencional,Ejecución a nivel nacional de los programas y acciones de la Política Laboral,Trabajo y Previsión Social,Asuntos Laborales Generales,Gasto corriente,Delegación Federal del Trabajo en Chiapas,Instrumentación de la política Laboral, Chiapas ,Prestación de Servicios Públicos," 15,944 "," 15,944 ",,7.0,,1.0,1,3.0,E," 15,944 ",31401.0," 15,944 ",3.0,14,2,1.0,127
6, -   ," 1,248,300 ",2014, 0 ,,Recursos fiscales,Seguridad Nacional,Gobierno,"Productos alimenticios para el Ejército, Fuerza Aérea y Armada Mexicanos, y para los efectivos que participen en programas de seguridad pública",Desarrollo y dirección de la política y estrategia naval,Marina,Marina,Gasto corriente,Inspección y Contraloría General de Marina,Administrar el Poder Naval de la Federación, Distrito Federal ,Funciones de las Fuerzas Armadas," 1,478,185 "," 1,478,185 ",,9.0,,1.0,6,1.0,A," 1,478,185 ",22101.0," 1,478,185 ",8.0,13,2,1.0,110
4,," 1,065,000.0 ",2013,0,Desarrollo Social,Recursos fiscales,Vivienda y Servicios a la Comunidad,,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,Estudios y acciones de planeación del desarrollo urbano,Desarrollo Social,Urbanización,Gasto corriente,Dirección General de Desarrollo Territorial,Planeación de proyectos urbanos para estados y municipios,Distrito Federal,Específicos, -   ,, -   ,9.0,2.0,1.0,2,,R,,37504.0,,10.0,20,1,1.0,314
3,,1119.0,2011,,Desarrollo Económico,Recursos fiscales,Temas Empresariales,,Productos alimenticios para el personal derivado de actividades extraordinarias,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,"Micro, Pequeñas y Medianas Empresas",Gasto corriente,Subdelegación en Poza Rica,"Micro, Pequeñas y Medianas Empresas productivas y competitivas",,Prestación de Servicios Públicos,,,700.0,,3.0,1.0,4,,E,,22106.0,,9.0,10,1,1.0,771
10, -   ," 2,100 ",2014, 13096360005 ,,Recursos fiscales,Transporte,Desarrollo Económico,Materiales y útiles de oficina,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Michoacán,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes", Michoacán ,Proyectos de Inversión," 2,100 "," 2,100 ",,16.0,,1.0,5,3.0,K," 2,100 ",21101.0," 2,100 ",31.0,9,1,3.0,636
10,0.00,"10,780.00",2015,14092100002,,Recursos fiscales,Transporte,Desarrollo Económico,Servicios de vigilancia,Conservación de infraestructura de caminos rurales y carreteras alimentadoras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Michoacán,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Michoacán,Proyectos de Inversión,"10,780.00","10,780.00",,16.0,,1.0,5,3.0,K,"10,780.00",33801.0,"10,780.00",37.0,9,1,3.0,636
3,," 14,457 ",2012,0,Desarrollo Social,Recursos fiscales,Protección Ambiental,,Servicio telegráfico,Programa de gestión hídrica,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Durango,Regulación y supervisión,,," 11,305 ",10.0,2.0,1.0,1,,G,,31802.0,,10.0,16,2,1.0,B00
4,,0.0,2011,,Desarrollo Económico,Recursos fiscales,Turismo,,Pago de liquidaciones,Establecer y conducir la política de turismo,Turismo,Turismo,Gasto corriente,Subsecretaría de Operación Turística,Turismo con sello propio de calidad hospitalidad y seguridad,,"Planeación, seguimiento y evaluación de políticas públicas",,,793502.0,,3.0,1.0,6,,P,,15202.0,,1.0,21,1,1.0,200
3,," 14,159.0 ",2013,0,Desarrollo Social,Recursos fiscales,Protección Ambiental,,Impresión y elaboración de material informativo derivado de la operación y administración de las dependencias y entidades,Programa de gestión hídrica,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Chihuahua,Regulación y supervisión, -   ,, -   ,8.0,2.0,1.0,1,,G,,33604.0,,10.0,16,2,1.0,B00
2,,392353.0,2011,,Desarrollo Económico,Recursos fiscales,Temas Agrarios,,Cuotas para el seguro de gastos médicos del personal civil,Actividades de apoyo administrativo,Reforma Agraria,Asuntos Agrarios,Gasto corriente,Registro Agrario Nacional,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,281281.0,,3.0,1.0,8,,M,,14403.0,,1.0,15,1,1.0,B00
3,,0.0,2011,,Desarrollo Económico,Recursos fiscales,Comunicaciones y Transportes,,"Adjudicaciones, expropiaciones e indemnizaciones de inmuebles",Conservación de Infraestructura Carretera,Comunicaciones y Transportes,Carreteras,Gasto de obra pública,Centro SCT Veracruz,"Carreteras eficientes, seguras y suficientes",,Proyectos de Inversión,,,241886.0,,3.0,1.0,1,,K,,58901.0,,32.0,9,1,3.0,650
1,0.00,0.00,2015,0,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Arrendamiento de mobiliario,Actualización del padrón electoral y expedición de la credencial para votar,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Chiapas,Específicos,412.00,412.00,,7.0,,1.0,3,1.0,R,412.00,32302.0,412.00,5.0,22,6,1.0,300
3, -   ," 113,000 ",2014, 0 ,,Recursos fiscales,Justicia,Gobierno,Congresos y convenciones,Otras Actividades,Poder Judicial,Impartición de Justicia,Gasto corriente,Suprema Corte de Justicia de la Nación,Impartir justicia en el ámbito de su competencia, Nuevo León ,Específicos," 83,516 "," 83,516 ",,19.0,,1.0,2,1.0,R," 83,516 ",38301.0," 83,516 ",1.0,3,1,1.0,100
2,0.00,"850,156.00",2015,0,,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",Desarrollo Social,Aportaciones al seguro de cesantía en edad avanzada y vejez,Actividades de apoyo administrativo,Educación Pública,Cultura,Gasto corriente,Instituto Nacional del Derecho de Autor,Servicios de apoyo administrativo,Distrito Federal,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,"727,502.86","727,502.86",,9.0,,1.0,4,2.0,M,"727,502.86",14105.0,"727,502.86",1.0,11,2,1.0,I00
1,," 20,872.0 ",2010,,Gobierno,Recursos fiscales,Administración Pública,,Pasajes nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales,Actividades de apoyo a la función pública y buen gobierno,Salud,Función Pública,Gasto corriente,Sistema Nacional para el Desarrollo Integral de la Familia,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,," 2,005.0 ",,1.0,1.0,8,,O,,3811.0,,1.0,12,3,1.0,NHK
8,," 20,274,006.0 ",2013,0,Desarrollo Social,Recursos fiscales,Educación,,Aportaciones federales a las entidades federativas y municipios para servicios personales,FAETA Educación de Adultos,Aportaciones Federales para Entidades Federativas y Municipios,Educación para Adultos,Gasto corriente,"Dirección General de Programación y Presupuesto ""A""",Fondo de Aportaciones para la Educación Tecnológica y de Adultos,Tlaxcala,Gasto Federalizado," 20,885,506.0 ",," 20,885,506.0 ",29.0,2.0,1.0,5,,I,,83101.0,,10.0,33,5,1.0,416
3,0.00,"52,700.00",2015,0,,Recursos fiscales,Seguridad Nacional,Gobierno,Materiales complementarios,"Defensa de la Integridad, la Independencia, la Soberanía del Territorio Nacional",Defensa Nacional,Defensa,Gasto corriente,Jefatura del Estado Mayor de la Defensa Nacional,"Defensa de la integridad, la independencia, la soberanía del territorio nacional y la seguridad interior",Distrito Federal,Funciones de las Fuerzas Armadas,"440,074.46","440,074.46",,9.0,,1.0,6,1.0,A,"440,074.46",24801.0,"440,074.46",2.0,7,1,1.0,111
1,," 1,075,284 ",2012,0,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Compensación garantizada,Actualizar el padrón electoral y expedir la credencial para votar,Instituto Federal Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Tlaxcala,Específicos,,, -   ,29.0,1.0,1.0,3,,R,,15402.0,,5.0,22,6,1.0,300
10,, -   ,2012,12096450004,Desarrollo Económico,Recursos fiscales,Transporte,,Servicio de energía eléctrica,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Sinaloa,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Sinaloa,Proyectos de Inversión,,," 3,440 ",25.0,3.0,1.0,5,,K,,31101.0,,31.0,9,1,3.0,645
4,," 846,800.0 ",2010,,Gobierno,Recursos fiscales,Legislación,,Pasajes terrestres nacionales para labores en campo y de supervisión,ACTIVIDADES DERIVADAS DEL TRABAJO LEGISLATIVO,Poder Legislativo,Legislación,Gasto corriente,H. Cámara de Senadores,Llevar a cabo el proceso Legislativo,,Específicos,,," 505,748.0 ",,1.0,1.0,0,,R,,3808.0,,1.0,1,1,1.0,200
10, -   , -   ,2014, 11096440004 ,,Recursos fiscales,Transporte,Desarrollo Económico,Materiales y útiles de impresión y reproducción,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT San Luis Potosí,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes", San Luis Potosí ,Proyectos de Inversión," 3,738 "," 3,738 ",,24.0,,1.0,5,3.0,K," 3,738 ",21201.0," 3,738 ",31.0,9,1,3.0,644
3,," 413,629 ",2012,0,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Subsidios para inversión,Fondo Nacional de Apoyos para Empresas en Solidaridad (FONAES),Economía,Asuntos Económicos y Comerciales en General,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Coordinación General del Programa Nacional de Apoyo para las Empresas de Solidaridad,"Micro, pequeñas y medianas empresas productivas y competitivas",Jalisco,Sujetos a Reglas de Operación,,, -   ,14.0,3.0,1.0,1,,S,,43301.0,,17.0,10,1,7.0,C00
10,0.00,84.00,2015,9096400028,,Recursos fiscales,Transporte,Desarrollo Económico,Material de limpieza,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Oaxaca,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Oaxaca,Proyectos de Inversión,0.00,0.00,,20.0,,1.0,5,3.0,K,0.00,21601.0,0.00,31.0,9,1,3.0,640
3,,0.0,2011,,Gobierno,Recursos fiscales,Hacienda,,Congresos y convenciones,Control de la operación aduanera,Hacienda y Crédito Público,Ingresos,Gasto corriente,Servicio de Administración Tributaria,Política de ingresos equitativa y promotora de la competitividad,,Prestación de Servicios Públicos,,,323180.0,,1.0,1.0,3,,E,,38301.0,,25.0,6,1,1.0,E00
