ACTIVIDAD_INST_DESCRIPCION,AI,Actividad Institucional,CLAVE_CARTERA,CONCEPTO,CONCEPTO_DESCRIPCION,Ciclo,Clave de Cartera,Descripción de Actividad Institucional,Descripción de Entidad Federativa,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción del Identificador de Programa Presupuestario,Descripción del Identificador del Programa Presupuestario,Descripciónde Fuente de Financiamiento,Descripciónde Tipo de Gasto,EF,ENTIDAD_FED_DESCRIPCION,Entidad Federativa,FF,FN,FUENTE_FINAN_DESCRIPCION,FUNCIONL_DESCRIPCION,Finalidad,Fuente de Financiamiento,Función,GF,GRUPO_FUN_DESCRIPCION,Grupo Funcional,Identificador de Programa Presupuestario,Identificador del Programa Presupuestario,Importe Presupuesto de Egresos de la Federación (PEF),MOD,MODALIDAD_DESCRIPCION,Objeto del Gasto,PEF_2016,PP,PROGR_PRES_DESCRIPCION,Programa Presupuestario,RA,RAMO_DESCRIPCION,REASIGNACION_DESCRIPCION,Ramo,SF,SUBFUNCIONL_DESCRIPCION,Subfunción,TG,TIPO_GASTO_DESCRIPCION,Tipo de Gasto,UNIDAD,UNIDAD_DESCRIPCION,Unidad Responsable,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,3.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Legislación,,Servicios oficiales,"Entregar a la Cámara de Diputados del H. Congreso de la Unión, el informe sobre la revisión de la Cuenta de la Hacienda Pública Federal",Poder Legislativo,Fiscalización,Gasto corriente,Auditoría Superior de la Federación,Fiscalización de la Cuenta de la Hacienda Pública Federal,,Específicos,,,,,9.0,,,,,1.0,1.0,1.0,,,,,R,"$14,023,210.00",,,3800.0,,,,2.0,,,,1,,,2.0,,,1.0,,,101,,,,,,,
,,6.0,,,,2008.0,,Pago de Riesgos de Trabajo y Subsidios y Ayudas,,,Ingresos Propios,Seguridad Social,Desarrollo Social,"Servicios Comercial, Bancario, Financiero, Subcontratación de Servicios con Terceros y Gastos Inherentes",Pensiones por Riesgos de Trabajo,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Edad Avanzada,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,,Pensiones y jubilaciones,,,,,,,,,,,,4.0,2.0,,,2.0,J,,77515.0,,,3400.0,,,,19.0,,,,GYN,,,1.0,,,1.0,,,GYN,,,,,,,
,,7.0,,,,2009.0,,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.,,,,Desarrollo Sustentable,Desarrollo Económico,"Maquinaria y Equipo Agropecuario, Industrial, de Comunicaciones y de uso Informático",Mejora de la Gestión Ambiental,Medio Ambiente y Recursos Naturales,Protección y Conservación del Medio Ambiente y los Recursos Naturales,,Subsecretaría de Gestión para la Protección Ambiental,,Regulación y supervisión,,Recursos fiscales,Gasto de capital diferente de obra pública,,,,,,,,,1.0,9.0,,,3.0,G,,232925.0,,,5200.0,,,,15.0,,,,16,,,2.0,,,2.0,,,700,,,,,,,
,,10.0,,,,2015.0,7096320010,,Guerrero,Desarrollo Económico,Recursos fiscales,Transporte,,"Servicios de instalación, reparación, mantenimiento y conservación",Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Guerrero,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,12.0,,,,,3.0,1.0,5.0,,,,,K,"$38,000.00",,,3500.0,,,,31.0,,,,9,,,1.0,,,3.0,,,632,,,,,,,
Regulaci¢n eficiente de las comunicaciones y los transportes,8.0,,0,2600.0,"Combustibles, lubricantes y aditivos",2016.0,,,,,,,,,,,,,,,,,,,22.0,Quertaro,,1.0,5.0,Recursos fiscales,Transporte,,,,3.0,Desarrollo Econ¢mico,,,,,G,Regulaci¢n y supervisi¢n,," 70,846 ",2.0,"Supervisi¢n, inspecci¢n y verificaci¢n del transporte terrestre, mar¡timo y areo",,0.0,Comunicaciones y Transportes,Otros,9,6.0,Otros Relacionados con Transporte,,1.0,Gasto corriente,,642,Centro SCT Quertaro,,,,,,,,
,,1.0,,,,2014.0,,,,Gobierno,Ingresos Propios,Coordinación de la Política de Gobierno,,Servicios oficiales,Actividades de apoyo a la función pública y buen gobierno,Comisión Federal de Electricidad,Función Pública,Gasto corriente,Comisión Federal de Electricidad,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,,,,,,1.0,4.0,3.0,,,,,O,"70,172.00",,,3800.0,,,,1.0,,,,TOQ,,,4.0,,,1.0,,,TOQ,,,,,,,
,,17.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,"Servicios profesionales, cientificos, tecnicos y otros servicios",Defensa jurídica de la Secretaría de Gobernación y compilación jurídica nacional y testamentaria ciudadana,Gobernación,Política Interior,Gasto corriente,Dirección General de lo Consultivo y de Contratos y Convenios,Apoyo jurídico a la Secretaría de Gobernación,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,1.0,1.0,3.0,,,,,P,"344,031.00",,,3300.0,,,,9.0,,,,4,,,2.0,,,1.0,,,131,,,,,,,
,,2.0,,,,2010.0,,,,Desarrollo Económico,Recursos fiscales,Comunicaciones y Transportes,,Pagos por Otras Prestaciones Sociales y Económicas,Actividades de apoyo administrativo,Comunicaciones y Transportes,Otros,Gasto corriente,Centro SCT Morelos,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,3.0,1.0,1.0,,,,,M,4663059.0,,,1500.0,,,,1.0,,,,9,,,6.0,,,1.0,,,637,,,,,,,
,,2.0,,,,2011.0,,,,Desarrollo Económico,Recursos fiscales,Comunicaciones y Transportes,,Servicios basicos,Actividades de apoyo administrativo,Comunicaciones y Transportes,Otros,Gasto corriente,Unidad de Asuntos Jurídicos,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,3.0,1.0,1.0,,,,,M,633000.0,,,3100.0,,,,1.0,,,,9,,,6.0,,,1.0,,,110,,,,,,,
,,3.0,,,,2015.0,0,,Querétaro,Desarrollo Social,Recursos fiscales,Protección Ambiental,,Servicios oficiales,Programa de gestión hídrica,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,,Regulación y supervisión,,,,,22.0,,,,,2.0,1.0,1.0,,,,,G,"$10,000.00",,,3800.0,,,,10.0,,,,16,,,2.0,,,1.0,,,B00,,,,,,,
,,12.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,Protección Social,,"Productos químicos, farmacéuticos y de laboratorio",Servicios de Atención a Población Vulnerable,Salud,Otros Grupos Vulnerables,Gasto corriente,Sistema Nacional para el Desarrollo Integral de la Familia,"Asistencia social, comunitaria y beneficencia pública justa y equitativa (asistencia pública)",,Prestación de Servicios Públicos,,,,,9.0,,,,,2.0,1.0,6.0,,,,,E,"$245,000.00",,,2500.0,,,,40.0,,,,12,,,8.0,,,1.0,,,NHK,,,,,,,
,,14.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,Salud,,Materiales y articulos de construccion y de reparacion,Calidad en Salud e Innovación,Salud,Rectoría del Sistema de Salud,Gasto corriente,Secretaría,Sistema Nacional de Salud organizado e integrado,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,3.0,,,,,P,"2,500.00",,,2400.0,,,,12.0,,,,12,,,4.0,,,1.0,,,100,,,,,,,
,,3.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Justicia,,Materiales y articulos de construccion y de reparacion,Impartición de Justicia Fiscal y Administrativa,Tribunal Federal de Justicia Fiscal y Administrativa,Impartición de Justicia,Gasto corriente,"Segunda Sala Regional del Noroeste I, con sede en la ciudad de Tijuana, Estado de Baja California",Impartición de justicia en materia fiscal y administrativa,,Prestación de Servicios Públicos,,,,,,,,,,1.0,1.0,2.0,,,,,E,"7,496.00",,,2400.0,,,,1.0,,,,32,,,1.0,,,1.0,,,209,,,,,,,
,,10.0,,,,2015.0,9096500029,,Veracruz,Desarrollo Económico,Recursos fiscales,Transporte,,"Servicios de instalación, reparación, mantenimiento y conservación",Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Veracruz,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,30.0,,,,,3.0,1.0,5.0,,,,,K,"$5,928.00",,,3500.0,,,,31.0,,,,9,,,1.0,,,3.0,,,650,,,,,,,
,,2.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Seguridad social,Actividades de apoyo administrativo,"Desarrollo Agrario, Territorial y Urbano",Agropecuaria,Gasto corriente,Dirección General de Recursos Materiales y Servicios Generales,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,3.0,1.0,2.0,,,,,M,"230,660.00",,,1400.0,,,,1.0,,,,15,,,1.0,,,1.0,,,412,,,,,,,
,,4.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Seguridad Nacional,,Materiales y articulos de construccion y de reparacion,Apoyo a las actividades de seguridad y logistica para garantizar la integridad del Ejecutivo Federal,Presidencia de la República,Inteligencia para la Preservación de la Seguridad Nacional,Gasto corriente,Estado Mayor Presidencial,"Asesoría, coordinación, difusión y apoyo de las actividades del Presidente de la República",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,1.0,1.0,6.0,,,,,P,"1,803,899.00",,,2400.0,,,,4.0,,,,2,,,3.0,,,1.0,,,210,,,,,,,
,,6.0,,,,2015.0,0,,Durango,Desarrollo Social,Recursos fiscales,Protección Ambiental,,"Combustibles, lubricantes y aditivos",Regulación Ambiental,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Durango,Fomento y regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales,,Regulación y supervisión,,,,,10.0,,,,,2.0,1.0,1.0,,,,,G,"$75,000.00",,,2600.0,,,,3.0,,,,16,,,6.0,,,1.0,,,130,,,,,,,
,,3.0,,,,2011.0,,,,Desarrollo Económico,Recursos fiscales,Comunicaciones y Transportes,,"Productos quimicos, farmaceuticos y de laboratorio",Conservación de Infraestructura Carretera,Comunicaciones y Transportes,Carreteras,Gasto de obra pública,Centro SCT Quintana Roo,"Carreteras eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,,,,,,3.0,1.0,1.0,,,,,K,30000.0,,,2500.0,,,,32.0,,,,9,,,1.0,,,3.0,,,643,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,Salud,,Materiales y artículos de construcción y de reparación,Actividades de apoyo administrativo,Salud,Rectoría del Sistema de Salud,Gasto corriente,Dirección General de Información en Salud,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,9.0,,,,,2.0,1.0,3.0,,,,,M,"$2,000.00",,,2400.0,,,,1.0,,,,12,,,4.0,,,1.0,,,613,,,,,,,
,,10.0,,,,2015.0,14096400004,,Oaxaca,Desarrollo Económico,Recursos fiscales,Transporte,,Otros servicios generales,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Oaxaca,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,20.0,,,,,3.0,1.0,5.0,,,,,K,"$4,469.00",,,3900.0,,,,31.0,,,,9,,,1.0,,,3.0,,,640,,,,,,,
,,3.0,,,,2015.0,1216B000169,,Veracruz,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,"Combustibles, lubricantes y aditivos",Infraestructura de riego y Temporal Tecnificado,Medio Ambiente y Recursos Naturales,Hidroagrícola,Gasto de obra pública,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,,Proyectos de Inversión,,,,,30.0,,,,,3.0,1.0,2.0,,,,,K,"$1,786,000.00",,,2600.0,,,,135.0,,,,16,,,5.0,,,3.0,,,B00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13.0,,,,2013.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Servicios oficiales,Registro e Identificación de Población,Gobernación,Población,Gasto corriente,"Subsecretaría de Población, Migración y Asuntos Religiosos",Sistema de Identificación Personal,,Prestación de Servicios Públicos,,,,,,,,,,1.0,1.0,3.0,,,,,E,199100.0,,,3800.0,,,,12.0,,,,4,,,7.0,,,1.0,,,400,,,,,,,
,,6.0,,,,2010.0,,,,Gobierno,Recursos fiscales,Gobernación,,Remuneraciones al Personal de Carácter Transitorio,"Conducción de la política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales",Gobernación,Política Interior,Gasto corriente,Instituto Nacional para el Federalismo y el Desarrollo Municipal,"Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,1.0,1.0,4.0,,,,,P,436533.0,,,1200.0,,,,1.0,,,,4,,,2.0,,,1.0,,,A00,,,,,,,
,,2.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,Salud,,Previsiones,Actividades de apoyo administrativo,Salud,Rectoría del Sistema de Salud,Gasto corriente,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,2.0,1.0,3.0,,,,,M,"309,636.00",,,1600.0,,,,1.0,,,,12,,,4.0,,,1.0,,,NCG,,,,,,,
,,3.0,,,,2009.0,,Proteger los Derechos Humanos Eficaz y Eficientemente,,,,"Orden, Seguridad y Justicia",Gobierno,Aportaciones al seguro de cesantía en edad avanzada y vejez,"Solucionar expedientes de presuntas violaciones a los Derechos Humanos: Quejas, Orientaciones Directas y Remisiones",Comisión Nacional de los Derechos Humanos,Protección y Promoción de los Derechos Humanos,,Tercera Visitaduría General,,Prestación de Servicios Públicos,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,6.0,,,1.0,E,,111969.0,,,1414.0,,,,4.0,,,,35,,,5.0,,,1.0,,,103,,,,,,,
,,3.0,,,,2015.0,0,,Baja California Sur,Gobierno,Recursos fiscales,Justicia,,Alimentos y utensilios,Otras Actividades,Poder Judicial,Impartición de Justicia,Gasto corriente,Consejo de la Judicatura Federal,Impartir justicia en el ámbito de su competencia,,Específicos,,,,,3.0,,,,,1.0,1.0,2.0,,,,,R,"$1,200.00",,,2200.0,,,,1.0,,,,3,,,1.0,,,1.0,,,110,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.0,,,,2008.0,,"Micro, Pequeñas y Medianas Empresas producctivas y competitivas",,,Recursos fiscales,Temas Empresariales,Desarrollo Económico,Cuotas para el seguro colectivo de retiro,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,"Micro, Pequeñas y Medianas Empresas",Gasto corriente,Subdelegación en Reynosa,,Prestación de servicios públicos,,,,,,,,,,,,1.0,4.0,,,3.0,E,,2988.0,,,1408.0,,,,9.0,,,,10,,,1.0,,,1.0,,,168,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Democracia preservada y fortalecida mediante la organizaci¢n de elecciones federales, el fomento de la participaci¢n ciudadana y la promoci¢n del desarrollo del sistema de partidos",1.0,,0,1500.0,Otras prestaciones sociales y econ¢micas,2016.0,,,,,,,,,,,,,,,,,,,5.0,Coahuila,,1.0,3.0,Recursos fiscales,Coordinaci¢n de la Pol¡tica de Gobierno,,,,1.0,Gobierno,,,,,R,Espec¡ficos,," 3,759,947 ",5.0,Actualizaci¢n del padr¢n electoral y expedici¢n deÿla credencial para votar,,0.0,Instituto Nacional Electoral,Otros,22,6.0,Organizaci¢n de Procesos Electorales,,1.0,Gasto corriente,,300,Juntas Distritales Ejecutivas,,,,,,,,
,,10.0,,,,2015.0,12096500030,,Veracruz,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios de traslado y viáticos,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Veracruz,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,30.0,,,,,3.0,1.0,5.0,,,,,K,$72.00,,,3700.0,,,,31.0,,,,9,,,1.0,,,3.0,,,650,,,,,,,
,,4.0,,,,2015.0,0,,Coahuila,Desarrollo Social,Recursos fiscales,Salud,,Remuneraciones adicionales y especiales,Atención de Urgencias,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Cobertura de la atención médica curativa,,Prestación de Servicios Públicos,,,,,5.0,,,,,2.0,1.0,3.0,,,,,E,"$1,188,388.00",,,1300.0,,,,13.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,3.0,,,,2009.0,,Cobertura de la Atención Médica Preventiva,,,,Salud,Desarrollo Social,Compensaciones a médicos residentes,Control del Estado de Salud de la Embarazada,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,,Prestación de Servicios Públicos,,Ingresos Propios,Gasto corriente,,,,,,,,,4.0,1.0,,,2.0,E,,830768.0,,,1326.0,,,,5.0,,,,GYN,,,2.0,,,1.0,,,GYN,,,,,,,
,,5.0,,,,2010.0,,,,Desarrollo Social,Recursos fiscales,Educación,,Servicios Oficiales,Profesionalización de los recursos humanos del ejército y fuerza aérea mediante el sistema educativo militar (educación superior),Defensa Nacional,Educación Superior,Gasto corriente,Dirección General de Educación Militar y Rectoría de la Universidad del Ejército y Fuerza Aérea,Educación militar,,Funciones de las Fuerzas Armadas,,,,,,,,,,2.0,1.0,0.0,,,,,A,4407170.0,,,3800.0,,,,8.0,,,,7,,,3.0,,,1.0,,,115,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5.0,,,,2012.0,,,,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,"Vestuario, blancos, prendas de proteccion y articulos deportivos",Ejecución a nivel nacional de los programas y acciones de la Política Laboral,Trabajo y Previsión Social,Asuntos Laborales Generales,Gasto corriente,Delegación Federal del Trabajo en San Luis Potosí,Instrumentación de la política Laboral,,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,1.0,,,,,E,14000.0,,,2700.0,,,,3.0,,,,14,,,2.0,,,1.0,,,144,,,,,,,
,,4.0,,,,2015.0,0,,Distrito Federal,Desarrollo Económico,Recursos fiscales,Combustibles y Energía,,"Materiales de administración, emisión de documentos y artículos oficiales","Regulación y supervisión del otorgamiento de permisos y la administración de estos, en materia de electricidad, gas natural y gas licuado de petróleo",Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Comisión Reguladora de Energía,Regulación eficiente del sector energético,,Regulación y supervisión,,,,,9.0,,,,,3.0,1.0,3.0,,,,,G, $-   ,,,2100.0,,,,2.0,,,,18,,,2.0,,,1.0,,,C00,,,,,,,
,,3.0,,,,2013.0,,,,Desarrollo Social,Recursos fiscales,Educación,,"Servicios financieros, bancarios y comerciales",Programa de Educación inicial y básica para la población rural e indígena ,Educación Pública,Educación Básica,Gasto de obra pública,Consejo Nacional de Fomento Educativo,Educación básica de calidad,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,5.0,,,,,E,510574.0,,,3400.0,,,,62.0,,,,11,,,1.0,,,3.0,,,L6W,,,,,,,
,,5.0,,,,2015.0,0,,Coahuila,Desarrollo Social,Recursos fiscales,Educación,,Materiales y artículos de construcción y de reparación,Prestación de servicios de educación superior y posgrado,Educación Pública,Educación Superior,Gasto corriente,Universidad Autónoma Agraria Antonio Narro,Educación superior de calidad,,Prestación de Servicios Públicos,,,,,5.0,,,,,2.0,1.0,5.0,,,,,E,"$3,010,072.00",,,2400.0,,,,10.0,,,,11,,,3.0,,,1.0,,,MGH,,,,,,,
,,4.0,,,,2015.0,0,,Campeche,Desarrollo Social,Recursos fiscales,Salud,,Remuneraciones adicionales y especiales,Atención de Urgencias,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Cobertura de la atención médica curativa,,Prestación de Servicios Públicos,,,,,4.0,,,,,2.0,1.0,3.0,,,,,E,"$46,510.00",,,1300.0,,,,13.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,5.0,,,,2015.0,0,,Estado de México,Desarrollo Social,Ingresos Propios,Salud,,Servicios básicos,Recaudación eficiente de ingresos obrero patronales,Instituto Mexicano del Seguro Social,Generación de Recursos para la Salud,Gasto corriente,Instituto Mexicano del Seguro Social,Servicios de incorporación y recaudación,,Prestación de Servicios Públicos,,,,,15.0,,,,,2.0,4.0,3.0,,,,,E,"$567,603.00",,,3100.0,,,,6.0,,,,50,,,3.0,,,1.0,,,GYR,,,,,,,
Regulaci¢n eficiente de las comunicaciones y los transportes,8.0,,0,3500.0,"Servicios de instalaci¢n, reparaci¢n, mantenimiento y conservaci¢n",2016.0,,,,,,,,,,,,,,,,,,,5.0,Coahuila,,1.0,5.0,Recursos fiscales,Transporte,,,,3.0,Desarrollo Econ¢mico,,,,,G,Regulaci¢n y supervisi¢n,," 1,408,800 ",2.0,"Supervisi¢n, inspecci¢n y verificaci¢n del transporte terrestre, mar¡timo y areo",,0.0,Comunicaciones y Transportes,Otros,9,6.0,Otros Relacionados con Transporte,,1.0,Gasto corriente,,625,Centro SCT Coahuila,,,,,,,,
,,3.0,,,,2015.0,13096500015,,Veracruz,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios de arrendamiento,Proyectos de infraestructura económica de carreteras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Veracruz,"Carreteras eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,30.0,,,,,3.0,1.0,5.0,,,,,K,"$245,300.00",,,3200.0,,,,3.0,,,,9,,,1.0,,,3.0,,,650,,,,,,,
Investigaci¢n del delito federal,4.0,,0,1100.0,Remuneraciones al personal de car cter permanente,2016.0,,,,,,,,,,,,,,,,,,,9.0,Distrito Federal,,1.0,2.0,Recursos fiscales,Justicia,,,,1.0,Gobierno,,,,,E,Prestaci¢n de Servicios P£blicos,," 30,710,826 ",3.0,Investigar y perseguir los delitos relativos a la Delincuencia Organizada,,0.0,Procuradur¡a General de la Rep£blica,Otros,17,2.0,Procuraci¢n de Justicia,,1.0,Gasto corriente,,418,Direcci¢n General de Cuerpo Tcnico de Control,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.0,,,,2015.0,13096300009,,Durango,Desarrollo Económico,Recursos fiscales,Transporte,,"Servicios de instalación, reparación, mantenimiento y conservación",Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Durango,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,10.0,,,,,3.0,1.0,5.0,,,,,K,"$3,800.00",,,3500.0,,,,31.0,,,,9,,,1.0,,,3.0,,,630,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Justicia,,Seguridad social,"Coordinar las publicaciones, realizar investigaciones, promover la formación académica y ofrecer servicios bibliohemerográficos en materia de Derechos Humanos",Comisión Nacional de los Derechos Humanos,Derechos Humanos,Gasto corriente,Centro Nacional de Derechos Humanos,Promover y divulgar la cultura de los derechos humanos eficiente y ampliamente,,Prestación de Servicios Públicos,,,,,9.0,,,,,1.0,1.0,2.0,,,,,E,"$18,024.00",,,1400.0,,,,18.0,,,,35,,,4.0,,,1.0,,,108,,,,,,,
,,18.0,,,,2011.0,,,,Desarrollo Social,Recursos fiscales,Salud,,Seguridad social,Sistema Integral de Calidad en Salud,Salud,Prestación de Servicios de Salud a la Persona,Gasto corriente,Dirección General de Calidad y Educación en Salud,Prestación de servicios del Sistema Nacional de Salud organizados e integrados,,Sujetos a Reglas de Operación,,,,,,,,,,2.0,1.0,1.0,,,,,S,5736905.0,,,1400.0,,,,202.0,,,,12,,,2.0,,,1.0,,,610,,,,,,,
,,4.0,,,,2015.0,0,,Querétaro,Desarrollo Económico,Recursos fiscales,"Ciencia, Tecnología e Innovación",,Servicios básicos,Desarrollo tecnológico e innovación y elaboración de publicaciones,Consejo Nacional de Ciencia y Tecnología,Desarrollo Tecnológico,Gasto corriente,"CIATEQ, A.C. Centro de Tecnología Avanzada",Generación de desarrollo e innovación tecnológica para elevar la competitividad del país y difusión de sus resultados,,Prestación de Servicios Públicos,,,,,22.0,,,,,3.0,1.0,8.0,,,,,E,"$510,743.00",,,3100.0,,,,2.0,,,,38,,,2.0,,,1.0,,,90Y,,,,,,,
,,1.0,,,,2015.0,0,,Tlaxcala,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,"Materiales de administración, emisión de documentos y artículos oficiales",Capacitación y educación para el ejercicio democrático de la ciudadanía,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Específicos,,,,,29.0,,,,,1.0,1.0,3.0,,,,,R,"$13,700.00",,,2100.0,,,,3.0,,,,22,,,6.0,,,1.0,,,300,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
